Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1284.422,RIC,3,,1.0,1.0,1169.577,,,43.474,27.094,,1257.358,1284.488,242.0,214.0,248.0,284.0,False,SOFT,1.0,True,Renault,1169.577,2020-10-10 10:04:30.202,1,,False,,False,False
1377.865,RIC,3,93.443,2.0,1.0,,,30.463,39.663,23.317,1314.885,1354.548,1377.865,259.0,226.0,255.0,304.0,True,SOFT,2.0,True,Renault,1284.422,2020-10-10 10:06:25.047,1,,False,,False,True
1476.937,RIC,3,99.072,3.0,1.0,,,30.154,40.01,28.908,1408.019,1448.029,1476.937,264.0,225.0,252.0,163.0,False,SOFT,3.0,True,Renault,1377.865,2020-10-10 10:07:58.490,1,,False,,False,True
1567.082,RIC,3,90.145,4.0,1.0,,,29.399,37.89,22.856,1506.336,1544.226,1567.082,262.0,231.0,255.0,308.0,True,SOFT,4.0,True,Renault,1476.937,2020-10-10 10:09:37.562,1,,False,,False,True
1670.319,RIC,3,103.237,5.0,1.0,,,34.149,44.218,24.87,1601.231,1645.449,1670.319,245.0,210.0,255.0,289.0,False,SOFT,5.0,True,Renault,1567.082,2020-10-10 10:11:07.707,1,,False,,False,True
1759.919,RIC,3,89.6,6.0,1.0,,,29.196,37.462,22.942,1699.515,1736.977,1759.919,267.0,234.0,255.0,312.0,True,SOFT,6.0,True,Renault,1670.319,2020-10-10 10:12:50.944,1,,False,,False,True
1870.414,RIC,3,110.495,7.0,1.0,,,33.656,50.157,26.682,1793.575,1843.732,1870.414,238.0,196.0,254.0,282.0,False,SOFT,7.0,True,Renault,1759.919,2020-10-10 10:14:20.544,1,,False,,False,True
1959.687,RIC,3,89.273,8.0,1.0,,,29.104,37.228,22.941,1899.518,1936.746,1959.687,268.0,233.0,254.0,309.0,True,SOFT,8.0,True,Renault,1870.414,2020-10-10 10:16:11.039,1,,False,,False,True
2067.305,RIC,3,107.618,9.0,1.0,,2065.362,33.633,42.968,31.017,1993.32,2036.288,2067.305,251.0,210.0,,294.0,False,SOFT,9.0,True,Renault,1959.687,2020-10-10 10:17:40.312,12,,False,,False,False
2210.683,RIC,3,143.378,10.0,2.0,2087.322,2208.731,65.0,44.984,33.394,2132.305,2177.289,2210.683,256.0,198.0,,197.0,False,SOFT,10.0,False,Renault,2067.305,2020-10-10 10:19:27.930,1,,False,,False,False
3014.461,RIC,3,,11.0,3.0,2911.463,,,42.287,27.096,,2987.365,3014.593,248.0,203.0,257.0,287.0,False,SOFT,1.0,True,Renault,2210.683,2020-10-10 10:21:51.308,1,,False,,False,False
3101.853,RIC,3,87.392,12.0,3.0,,,28.416,36.551,22.425,3042.877,3079.428,3101.853,267.0,238.0,258.0,314.0,True,SOFT,2.0,True,Renault,3014.461,2020-10-10 10:35:15.086,12,,False,,False,True
3215.148,RIC,3,113.295,13.0,3.0,,3215.145,37.043,45.934,30.318,3138.896,3184.83,3215.148,238.0,201.0,,278.0,False,SOFT,3.0,True,Renault,3101.853,2020-10-10 10:36:42.478,1,,False,,False,False
3352.641,RIC,3,137.493,14.0,4.0,3237.835,,63.009,45.092,29.392,3278.157,3323.249,3352.641,255.0,207.0,257.0,134.0,False,SOFT,4.0,False,Renault,3215.148,2020-10-10 10:38:35.773,1,,False,,False,False
3440.714,RIC,3,88.073,15.0,4.0,,,28.573,36.876,22.624,3381.214,3418.09,3440.714,266.0,235.0,257.0,308.0,False,SOFT,5.0,False,Renault,3352.641,2020-10-10 10:40:53.266,1,,False,,False,True
3543.876,RIC,3,103.162,16.0,4.0,,3541.928,32.821,41.241,29.1,3473.535,3514.776,3543.876,254.0,213.0,,294.0,False,SOFT,6.0,False,Renault,3440.714,2020-10-10 10:42:21.339,1,,False,,False,False
3676.65,RIC,3,132.774,17.0,5.0,3570.478,3674.733,61.039,40.98,30.755,3604.915,3645.895,3676.65,260.0,197.0,,193.0,False,SOFT,7.0,False,Renault,3543.876,2020-10-10 10:44:04.501,1,,False,,False,False
4204.347,RIC,3,,18.0,6.0,4102.096,,,39.534,23.74,,4180.647,4205.207,259.0,226.0,245.0,287.0,False,SOFT,8.0,False,Renault,3676.65,2020-10-10 10:46:17.275,12,,False,,False,False
4298.896,RIC,3,94.549,19.0,6.0,,,31.035,39.655,23.859,4235.382,4275.037,4298.896,258.0,223.0,246.0,288.0,False,SOFT,9.0,False,Renault,4204.347,2020-10-10 10:55:04.972,1,,False,,False,True
4391.039,RIC,3,92.143,20.0,6.0,,,30.114,38.517,23.512,4329.01,4367.527,4391.039,262.0,226.0,247.0,288.0,False,SOFT,10.0,False,Renault,4298.896,2020-10-10 10:56:39.521,1,,False,,False,True
4483.578,RIC,3,92.539,21.0,6.0,,,29.825,38.411,24.303,4420.864,4459.275,4483.578,260.0,228.0,247.0,291.0,False,SOFT,11.0,False,Renault,4391.039,2020-10-10 10:58:11.664,1,,False,,False,True
4576.583,RIC,3,93.005,22.0,6.0,,,30.473,38.733,23.799,4514.051,4552.784,4576.583,261.0,223.0,247.0,291.0,False,SOFT,12.0,False,Renault,4483.578,2020-10-10 10:59:44.203,1,,False,,False,True
4677.868,RIC,3,101.285,23.0,6.0,,4676.913,31.148,39.835,30.302,4607.731,4647.566,4677.868,259.0,209.0,,218.0,False,SOFT,13.0,False,Renault,4576.583,2020-10-10 11:01:17.208,1,,False,,False,False
1061.269,NOR,4,,1.0,1.0,943.013,,,46.238,27.069,,1034.319,1062.516,204.0,208.0,241.0,287.0,False,MEDIUM,1.0,True,McLaren,943.013,2020-10-10 10:00:43.638,1,,False,,False,False
1158.159,NOR,4,96.89,2.0,1.0,,,32.953,39.766,24.171,1094.222,1133.988,1158.159,261.0,228.0,253.0,294.0,True,MEDIUM,2.0,True,McLaren,1061.269,2020-10-10 10:02:41.894,1,,False,,False,True
1251.45,NOR,4,93.291,3.0,1.0,,,31.223,38.546,23.522,1189.382,1227.928,1251.45,,232.0,256.0,306.0,True,MEDIUM,3.0,True,McLaren,1158.159,2020-10-10 10:04:18.784,1,,False,,False,True
1357.952,NOR,4,106.502,4.0,1.0,,,32.782,43.911,29.809,1284.232,1328.143,1357.952,227.0,229.0,256.0,263.0,False,MEDIUM,4.0,True,McLaren,1251.45,2020-10-10 10:05:52.075,1,,False,,False,True
1448.777,NOR,4,90.825,5.0,1.0,,,30.056,37.662,23.107,1388.008,1425.67,1448.777,264.0,234.0,256.0,304.0,True,MEDIUM,5.0,True,McLaren,1357.952,2020-10-10 10:07:38.577,1,,False,,False,True
1556.77,NOR,4,107.993,6.0,1.0,,,30.031,46.559,31.403,1478.808,1525.367,1556.77,265.0,225.0,253.0,128.0,False,MEDIUM,6.0,True,McLaren,1448.777,2020-10-10 10:09:09.402,1,,False,,False,True
1646.968,NOR,4,90.198,7.0,1.0,,,29.743,37.382,23.073,1586.513,1623.895,1646.968,264.0,231.0,255.0,309.0,True,MEDIUM,7.0,True,McLaren,1556.77,2020-10-10 10:10:57.395,1,,False,,False,True
