Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-08-15 12:45:19,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2020-08-15 12:46:25,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2020-08-15 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-08-15 13:11:01,Other,TURN 2 INCIDENT INVOLVING CARS 20 (MAG) AND 26 (KVY) NOTED,,,,,,
2020-08-15 13:13:17,Other,TURN 2 INCIDENT INVOLVING CARS 20 (MAG) AND 26 (KVY) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2020-08-15 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-08-15 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-08-15 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-08-15 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-08-15 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
