Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3387.532,VER,1,,1.0,1.0,,,,40.069,32.219,,3355.383,3387.633,216.0,181.0,203.0,295.0,False,MEDIUM,4.0,False,Red Bull Racing,3287.321,2023-10-21 22:03:45.842,1,1.0,False,,False,False
3486.592,VER,1,99.06,2.0,1.0,,,27.08,39.842,32.138,3414.638,3454.48,3486.618,223.0,178.0,203.0,290.0,True,MEDIUM,5.0,False,Red Bull Racing,3387.532,2023-10-21 22:05:26.053,1,1.0,False,,False,True
3586.051,VER,1,99.459,3.0,1.0,,,27.072,40.094,32.293,3513.69,3553.784,3586.077,220.0,177.0,203.0,289.0,False,MEDIUM,6.0,False,Red Bull Racing,3486.592,2023-10-21 22:07:05.113,1,1.0,False,,False,True
3685.4,VER,1,99.349,4.0,1.0,,,26.846,39.932,32.571,3612.923,3652.855,3685.426,222.0,179.0,204.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,3586.051,2023-10-21 22:08:44.572,1,1.0,False,,False,True
3784.627,VER,1,99.227,5.0,1.0,,,26.873,39.933,32.421,3712.299,3752.232,3784.653,224.0,176.0,203.0,292.0,False,MEDIUM,8.0,False,Red Bull Racing,3685.4,2023-10-21 22:10:23.921,1,1.0,False,,False,True
3884.014,VER,1,99.387,6.0,1.0,,,26.879,39.981,32.527,3811.532,3851.513,3884.04,223.0,179.0,202.0,294.0,False,MEDIUM,9.0,False,Red Bull Racing,3784.627,2023-10-21 22:12:03.148,1,1.0,False,,False,True
3983.72,VER,1,99.706,7.0,1.0,,,26.931,40.23,32.545,3910.971,3951.201,3983.746,221.0,180.0,201.0,292.0,False,MEDIUM,10.0,False,Red Bull Racing,3884.014,2023-10-21 22:13:42.535,1,1.0,False,,False,True
4083.446,VER,1,99.726,8.0,1.0,,,27.037,40.144,32.545,4010.783,4050.927,4083.472,,179.0,201.0,294.0,False,MEDIUM,11.0,False,Red Bull Racing,3983.72,2023-10-21 22:15:22.241,1,1.0,False,,False,True
4183.215,VER,1,99.769,9.0,1.0,,,27.11,40.113,32.546,4110.582,4150.695,4183.241,,179.0,201.0,293.0,False,MEDIUM,12.0,False,Red Bull Racing,4083.446,2023-10-21 22:17:01.967,1,1.0,False,,False,True
4282.898,VER,1,99.683,10.0,1.0,,,26.984,40.083,32.616,4210.225,4250.308,4282.924,223.0,179.0,201.0,293.0,False,MEDIUM,13.0,False,Red Bull Racing,4183.215,2023-10-21 22:18:41.736,1,1.0,False,,False,True
4382.538,VER,1,99.64,11.0,1.0,,,26.942,40.112,32.586,4309.866,4349.978,4382.564,,179.0,202.0,293.0,False,MEDIUM,14.0,False,Red Bull Racing,4282.898,2023-10-21 22:20:21.419,1,1.0,False,,False,True
4482.268,VER,1,99.73,12.0,1.0,,,26.992,40.134,32.604,4409.556,4449.69,4482.294,219.0,180.0,201.0,293.0,False,MEDIUM,15.0,False,Red Bull Racing,4382.538,2023-10-21 22:22:01.059,1,1.0,False,,False,True
4581.9,VER,1,99.632,13.0,1.0,,,27.026,40.13,32.476,4509.32,4549.45,4581.926,220.0,180.0,202.0,292.0,False,MEDIUM,16.0,False,Red Bull Racing,4482.268,2023-10-21 22:23:40.789,1,1.0,False,,False,True
4681.305,VER,1,99.405,14.0,1.0,,,26.839,40.089,32.477,4608.765,4648.854,4681.331,223.0,181.0,202.0,293.0,False,MEDIUM,17.0,False,Red Bull Racing,4581.9,2023-10-21 22:25:20.421,1,1.0,False,,False,True
4780.697,VER,1,99.392,15.0,1.0,,,26.879,40.017,32.496,4708.21,4748.227,4780.723,222.0,181.0,202.0,293.0,False,MEDIUM,18.0,False,Red Bull Racing,4681.305,2023-10-21 22:26:59.826,1,1.0,False,,False,True
4880.064,VER,1,99.367,16.0,1.0,,,26.797,40.031,32.539,4807.52,4847.551,4880.09,223.0,181.0,202.0,294.0,False,MEDIUM,19.0,False,Red Bull Racing,4780.697,2023-10-21 22:28:39.218,1,1.0,False,,False,True
4979.881,VER,1,99.817,17.0,1.0,,,26.853,40.218,32.746,4906.943,4947.161,4979.907,225.0,179.0,201.0,291.0,False,MEDIUM,20.0,False,Red Bull Racing,4880.064,2023-10-21 22:30:18.585,1,1.0,False,,False,True
5079.062,VER,1,99.181,18.0,1.0,,,26.664,40.116,32.401,5006.571,5046.687,5079.088,227.0,177.0,200.0,293.0,False,MEDIUM,21.0,False,Red Bull Racing,4979.881,2023-10-21 22:31:58.402,1,1.0,False,,False,True
5178.453,VER,1,99.391,19.0,1.0,,,26.786,40.125,32.48,5105.874,5145.999,5178.479,,179.0,203.0,292.0,False,MEDIUM,22.0,False,Red Bull Racing,5079.062,2023-10-21 22:33:37.583,1,1.0,False,,False,True
3388.319,HAM,44,,1.0,1.0,,,,40.158,32.365,,3355.992,3388.383,209.0,187.0,207.0,292.0,False,MEDIUM,4.0,False,Mercedes,3287.321,2023-10-21 22:03:45.842,1,2.0,False,,False,False
3487.767,HAM,44,99.448,2.0,1.0,,,26.991,39.719,32.738,3415.319,3455.038,3487.776,211.0,186.0,206.0,300.0,True,MEDIUM,5.0,False,Mercedes,3388.319,2023-10-21 22:05:26.840,1,2.0,False,,False,True
3586.905,HAM,44,99.138,3.0,1.0,,,26.879,39.709,32.55,3514.655,3554.364,3586.914,215.0,187.0,206.0,307.0,True,MEDIUM,6.0,False,Mercedes,3487.767,2023-10-21 22:07:06.288,1,2.0,False,,False,True
3686.249,HAM,44,99.344,4.0,1.0,,,26.74,39.909,32.695,3613.654,3653.563,3686.258,211.0,186.0,206.0,310.0,False,MEDIUM,7.0,False,Mercedes,3586.905,2023-10-21 22:08:45.426,1,2.0,False,,False,True
3785.682,HAM,44,99.433,5.0,1.0,,,26.706,39.99,32.737,3712.964,3752.954,3785.691,215.0,185.0,204.0,304.0,False,MEDIUM,8.0,False,Mercedes,3686.249,2023-10-21 22:10:24.770,1,2.0,False,,False,True
3885.742,HAM,44,100.06,6.0,1.0,,,26.919,40.304,32.837,3812.61,3852.914,3885.751,,187.0,204.0,290.0,False,MEDIUM,9.0,False,Mercedes,3785.682,2023-10-21 22:12:04.203,1,2.0,False,,False,True
3986.072,HAM,44,100.33,7.0,1.0,,,26.914,40.45,32.966,3912.665,3953.115,3986.081,217.0,187.0,203.0,292.0,False,MEDIUM,10.0,False,Mercedes,3885.742,2023-10-21 22:13:44.263,1,2.0,False,,False,True
4085.936,HAM,44,99.864,8.0,1.0,,,26.809,40.301,32.754,4012.89,4053.191,4085.945,221.0,184.0,202.0,295.0,False,MEDIUM,11.0,False,Mercedes,3986.072,2023-10-21 22:15:24.593,1,2.0,False,,False,True
4186.084,HAM,44,100.148,9.0,1.0,,,26.874,40.311,32.963,4112.819,4153.13,4186.093,219.0,185.0,202.0,292.0,False,MEDIUM,12.0,False,Mercedes,4085.936,2023-10-21 22:17:04.457,1,2.0,False,,False,True
4286.283,HAM,44,100.199,10.0,1.0,,,26.983,40.255,32.961,4213.076,4253.331,4286.292,,186.0,203.0,296.0,False,MEDIUM,13.0,False,Mercedes,4186.084,2023-10-21 22:18:44.605,1,2.0,False,,False,True
4386.326,HAM,44,100.043,11.0,1.0,,,26.765,40.31,32.968,4313.057,4353.367,4386.335,222.0,187.0,202.0,295.0,False,MEDIUM,14.0,False,Mercedes,4286.283,2023-10-21 22:20:24.804,1,2.0,False,,False,True
4486.534,HAM,44,100.208,12.0,1.0,,,26.867,40.37,32.971,4413.202,4453.572,4486.543,219.0,185.0,202.0,294.0,False,MEDIUM,15.0,False,Mercedes,4386.326,2023-10-21 22:22:04.847,1,2.0,False,,False,True
4586.313,HAM,44,99.779,13.0,1.0,,,26.825,40.244,32.71,4513.368,4553.612,4586.322,,186.0,202.0,292.0,False,MEDIUM,16.0,False,Mercedes,4486.534,2023-10-21 22:23:45.055,1,2.0,False,,False,True
4686.186,HAM,44,99.873,14.0,1.0,,,26.84,40.259,32.774,4613.162,4653.421,4686.195,222.0,187.0,202.0,291.0,False,MEDIUM,17.0,False,Mercedes,4586.313,2023-10-21 22:25:24.834,1,2.0,False,,False,True
4786.19,HAM,44,100.004,15.0,1.0,,,26.851,40.455,32.698,4713.046,4753.501,4786.199,223.0,186.0,202.0,294.0,False,MEDIUM,18.0,False,Mercedes,4686.186,2023-10-21 22:27:04.707,1,2.0,False,,False,True
4886.36,HAM,44,100.17,16.0,1.0,,,26.844,40.381,32.945,4813.043,4853.424,4886.369,222.0,186.0,201.0,293.0,False,MEDIUM,19.0,False,Mercedes,4786.19,2023-10-21 22:28:44.711,1,2.0,False,,False,True
4986.68,HAM,44,100.32,17.0,1.0,,,26.857,40.368,33.095,4913.226,4953.594,4986.689,223.0,187.0,201.0,297.0,False,MEDIUM,20.0,False,Mercedes,4886.36,2023-10-21 22:30:24.881,1,2.0,False,,False,True
5087.075,HAM,44,100.395,18.0,1.0,,,27.002,40.358,33.035,5013.691,5054.049,5087.084,217.0,187.0,200.0,297.0,False,MEDIUM,21.0,False,Mercedes,4986.68,2023-10-21 22:32:05.201,1,2.0,False,,False,True
5187.918,HAM,44,100.843,19.0,1.0,,,26.919,40.736,33.188,5114.003,5154.739,5187.927,219.0,187.0,201.0,295.0,False,MEDIUM,22.0,False,Mercedes,5087.075,2023-10-21 22:33:45.596,1,2.0,False,,False,True
3390.002,LEC,16,,1.0,1.0,,,,40.505,32.949,,3357.164,3390.117,207.0,182.0,201.0,296.0,False,MEDIUM,6.0,False,Ferrari,3287.321,2023-10-21 22:03:45.842,1,3.0,False,,False,False
3490.2,LEC,16,100.198,2.0,1.0,,,27.347,39.965,32.886,3417.382,3457.347,3490.233,210.0,182.0,203.0,300.0,True,MEDIUM,7.0,False,Ferrari,3390.002,2023-10-21 22:05:28.523,1,3.0,False,,False,True
3589.834,LEC,16,99.634,3.0,1.0,,,27.008,39.851,32.775,3517.241,3557.092,3589.867,216.0,183.0,203.0,305.0,True,MEDIUM,8.0,False,Ferrari,3490.2,2023-10-21 22:07:08.721,1,3.0,False,,False,True
3689.686,LEC,16,99.852,4.0,1.0,,,26.914,40.126,32.812,3616.781,3656.907,3689.719,217.0,183.0,204.0,304.0,False,MEDIUM,9.0,False,Ferrari,3589.834,2023-10-21 22:08:48.355,1,3.0,False,,False,True
3789.355,LEC,16,99.669,5.0,1.0,,,26.784,40.137,32.748,3716.503,3756.64,3789.388,,183.0,204.0,301.0,False,MEDIUM,10.0,False,Ferrari,3689.686,2023-10-21 22:10:28.207,1,3.0,False,,False,True
3889.276,LEC,16,99.921,6.0,1.0,,,26.872,40.287,32.762,3816.26,3856.547,3889.309,218.0,184.0,201.0,301.0,False,MEDIUM,11.0,False,Ferrari,3789.355,2023-10-21 22:12:07.876,1,3.0,False,,False,True
3989.395,LEC,16,100.119,7.0,1.0,,,26.887,40.299,32.933,3916.196,3956.495,3989.428,220.0,184.0,203.0,303.0,False,MEDIUM,12.0,False,Ferrari,3889.276,2023-10-21 22:13:47.797,1,3.0,False,,False,True
4089.484,LEC,16,100.089,8.0,1.0,,,27.058,40.323,32.708,4016.486,4056.809,4089.517,217.0,184.0,203.0,300.0,False,MEDIUM,13.0,False,Ferrari,3989.395,2023-10-21 22:15:27.916,1,3.0,False,,False,True
4189.764,LEC,16,100.28,9.0,1.0,,,27.022,40.306,32.952,4116.539,4156.845,4189.797,216.0,184.0,201.0,305.0,False,MEDIUM,14.0,False,Ferrari,4089.484,2023-10-21 22:17:08.005,1,3.0,False,,False,True
4289.973,LEC,16,100.209,10.0,1.0,,,26.889,40.359,32.961,4216.686,4257.045,4290.006,219.0,184.0,203.0,304.0,False,MEDIUM,15.0,False,Ferrari,4189.764,2023-10-21 22:18:48.285,1,3.0,False,,False,True
4390.203,LEC,16,100.23,11.0,1.0,,,26.94,40.321,32.969,4316.946,4357.267,4390.236,221.0,185.0,203.0,301.0,False,MEDIUM,16.0,False,Ferrari,4289.973,2023-10-21 22:20:28.494,1,3.0,False,,False,True
4490.524,LEC,16,100.321,12.0,1.0,,,26.836,40.408,33.077,4417.072,4457.48,4490.557,,185.0,202.0,302.0,False,MEDIUM,17.0,False,Ferrari,4390.203,2023-10-21 22:22:08.724,1,3.0,False,,False,True
4591.136,LEC,16,100.612,13.0,1.0,,,26.975,40.577,33.06,4517.532,4558.109,4591.169,219.0,184.0,202.0,300.0,False,MEDIUM,18.0,False,Ferrari,4490.524,2023-10-21 22:23:49.045,1,3.0,False,,False,True
4691.151,LEC,16,100.015,14.0,1.0,,,26.907,40.206,32.902,4618.076,4658.282,4691.184,218.0,185.0,202.0,303.0,False,MEDIUM,19.0,False,Ferrari,4591.136,2023-10-21 22:25:29.657,1,3.0,False,,False,True
4791.629,LEC,16,100.478,15.0,1.0,,,26.941,40.502,33.035,4718.125,4758.627,4791.662,220.0,185.0,202.0,300.0,False,MEDIUM,20.0,False,Ferrari,4691.151,2023-10-21 22:27:09.672,1,3.0,False,,False,True
4892.544,LEC,16,100.915,16.0,1.0,,,26.867,40.748,33.3,4818.529,4859.277,4892.577,221.0,185.0,201.0,303.0,False,MEDIUM,21.0,False,Ferrari,4791.629,2023-10-21 22:28:50.150,1,3.0,False,,False,True
4993.55,LEC,16,101.006,17.0,1.0,,,26.986,40.692,33.328,4919.563,4960.255,4993.583,219.0,185.0,201.0,298.0,False,MEDIUM,22.0,False,Ferrari,4892.544,2023-10-21 22:30:31.065,1,3.0,False,,False,True
5094.819,LEC,16,101.269,18.0,1.0,,,27.259,40.627,33.383,5020.842,5061.469,5094.852,217.0,185.0,201.0,303.0,False,MEDIUM,23.0,False,Ferrari,4993.55,2023-10-21 22:32:12.071,1,3.0,False,,False,True
5196.44,LEC,16,101.621,19.0,1.0,,,27.249,40.845,33.527,5122.101,5162.946,5196.473,213.0,184.0,203.0,303.0,False,MEDIUM,24.0,False,Ferrari,5094.819,2023-10-21 22:33:53.340,1,3.0,False,,False,True
3391.831,NOR,4,,1.0,1.0,,,,41.271,33.701,,3358.195,3391.945,186.0,177.0,203.0,306.0,False,MEDIUM,6.0,False,McLaren,3287.321,2023-10-21 22:03:45.842,1,5.0,False,,False,False
3492.906,NOR,4,101.075,2.0,1.0,,,27.739,40.445,32.891,3419.593,3460.038,3492.929,201.0,183.0,204.0,299.0,True,MEDIUM,7.0,False,McLaren,3391.831,2023-10-21 22:05:30.352,1,5.0,False,,False,True
3593.466,NOR,4,100.56,3.0,1.0,,,27.423,40.334,32.803,3520.352,3560.686,3593.489,207.0,185.0,204.0,300.0,True,MEDIUM,8.0,False,McLaren,3492.906,2023-10-21 22:07:11.427,1,5.0,False,,False,True
3693.601,NOR,4,100.135,4.0,1.0,,,27.174,39.915,33.046,3620.663,3660.578,3693.624,214.0,182.0,204.0,309.0,True,MEDIUM,9.0,False,McLaren,3593.466,2023-10-21 22:08:51.987,1,5.0,False,,False,True
3793.894,NOR,4,100.293,5.0,1.0,,,26.967,39.993,33.333,3720.591,3760.584,3793.917,213.0,185.0,203.0,325.0,False,MEDIUM,10.0,False,McLaren,3693.601,2023-10-21 22:10:32.122,1,5.0,False,,False,True
3894.227,NOR,4,100.333,6.0,1.0,,,26.811,40.072,33.45,3820.728,3860.8,3894.25,212.0,177.0,204.0,325.0,False,MEDIUM,11.0,False,McLaren,3793.894,2023-10-21 22:12:12.415,1,5.0,False,,False,True
3995.362,NOR,4,101.135,7.0,1.0,,,26.974,40.158,34.003,3921.224,3961.382,3995.385,,180.0,203.0,320.0,False,MEDIUM,12.0,False,McLaren,3894.227,2023-10-21 22:13:52.748,1,5.0,False,,False,True
4095.919,NOR,4,100.557,8.0,1.0,,,26.931,40.408,33.218,4022.316,4062.724,4095.942,211.0,182.0,201.0,301.0,False,MEDIUM,13.0,False,McLaren,3995.362,2023-10-21 22:15:33.883,1,5.0,False,,False,True
4196.686,NOR,4,100.767,9.0,1.0,,,26.978,40.128,33.661,4122.92,4163.048,4196.709,214.0,182.0,202.0,324.0,False,MEDIUM,14.0,False,McLaren,4095.919,2023-10-21 22:17:14.440,1,5.0,False,,False,True
4296.744,NOR,4,100.058,10.0,1.0,,,27.035,40.055,32.968,4223.744,4263.799,4296.767,,182.0,203.0,323.0,True,MEDIUM,15.0,False,McLaren,4196.686,2023-10-21 22:18:55.207,1,4.0,False,,False,True
4396.774,NOR,4,100.03,11.0,1.0,,,27.004,40.181,32.845,4323.771,4363.952,4396.797,219.0,183.0,202.0,300.0,True,MEDIUM,16.0,False,McLaren,4296.744,2023-10-21 22:20:35.265,1,4.0,False,,False,True
4496.661,NOR,4,99.887,12.0,1.0,,,26.894,40.307,32.686,4423.691,4463.998,4496.684,218.0,183.0,202.0,302.0,True,MEDIUM,17.0,False,McLaren,4396.774,2023-10-21 22:22:15.295,1,4.0,False,,False,True
4596.643,NOR,4,99.982,13.0,1.0,,,26.875,40.436,32.671,4523.559,4563.995,4596.666,217.0,186.0,199.0,294.0,False,MEDIUM,18.0,False,McLaren,4496.661,2023-10-21 22:23:55.182,1,4.0,False,,False,True
