Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-06-19 12:00:22,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 27 DEGREES,,,,,,
2021-06-19 12:45:10,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2021-06-19 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-06-19 13:03:19,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2021-06-19 13:03:20,Other,DRS DISABLED IN ZONE 2,,,,,,
2021-06-19 13:03:41,Flag,RED FLAG,,RED,Track,,,
2021-06-19 13:03:42,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2021-06-19 13:11:36,Other,SESSION WILL RE-START AT 15:13,,,,,,
2021-06-19 13:12:05,Flag,TRACK CLEAR,,CLEAR,Track,,,
2021-06-19 13:12:15,Drs,DRS ENABLED,ENABLED,,,,,
2021-06-19 13:13:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-06-19 13:18:05,Other,CAR 18 (STR) TIME 1:32.122 DELETED - TRACK LIMITS AT TURN 6,,,,,,
2021-06-19 13:18:37,CarEvent,CAR 10 (GAS) MISSED THE APEX OF TURN 2,,,,,10,
2021-06-19 13:18:45,CarEvent,CAR 9 (MAZ) OFF TRACK AND CONTINUED AT TURN 2,,,,,9,
2021-06-19 13:26:20,CarEvent,CAR 5 (VET) OFF TRACK AND CONTINUED AT TURN 2,,,,,5,
2021-06-19 13:26:32,CarEvent,CAR 9 (MAZ) OFF TRACK AND CONTINUED AT TURN 2,,,,,9,
2021-06-19 13:26:45,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2021-06-19 13:26:57,Flag,RED FLAG,,RED,Track,,,
2021-06-19 13:26:57,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2021-06-19 13:27:44,Other,SESSION WILL NOT BE RESTARTED,,,,,,
2021-06-19 13:30:45,Flag,TRACK CLEAR,,CLEAR,Track,,,
2021-06-19 13:30:52,Drs,DRS ENABLED,ENABLED,,,,,
2021-06-19 13:31:59,Other,SESSION WILL RE-START AT 15:35,,,,,,
2021-06-19 13:32:41,Other,Q2 WILL START AT 15:35,,,,,,
2021-06-19 13:35:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-06-19 13:38:40,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 2,,,,,55,
2021-06-19 13:39:12,Other,CAR 4 (NOR) TIME 1:31.520 DELETED - TRACK LIMITS AT TURN 6,,,,,,
2021-06-19 13:50:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-06-19 13:50:41,Other,CAR 10 (GAS) TIME 1:31.416 DELETED - TRACK LIMITS AT TURN 6,,,,,,
2021-06-19 13:51:58,Other,Q3 WILL START AT 15:58,,,,,,
2021-06-19 13:58:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2021-06-19 14:01:53,CarEvent,CAR 33 (VER) OFF TRACK AND CONTINUED AT TURN 2,,,,,33,
2021-06-19 14:02:03,Other,CAR 10 (GAS) TIME 1:31.410 DELETED - TRACK LIMITS AT TURN 6,,,,,,
2021-06-19 14:09:56,CarEvent,CAR 33 (VER) OFF TRACK AND CONTINUED AT TURN 2,,,,,33,
2021-06-19 14:10:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2021-06-19 14:22:22,Other,F3 RACE 2 PIT EXIT OPEN 16.40,,,,,,
2021-06-19 14:22:43,Other,F3 RACE 2 PIT EXIT CLOSED 16.45,,,,,,
2021-06-19 14:23:10,Other,F3 RACE 2 START FORMATION LAP 16.55,,,,,,
2021-06-19 14:22:22,Other,F3 RACE 2 PIT EXIT OPEN 16.40,,,,,,
2021-06-19 14:22:43,Other,F3 RACE 2 PIT EXIT CLOSED 16.45,,,,,,
2021-06-19 14:23:10,Other,F3 RACE 2 START FORMATION LAP 16.55,,,,,,
2021-06-19 14:25:10,Other,RISK OF RAIN FOR F3 SECOND RACE IS 10%,,,,,,
